tickers,name_company,ISIN,id_share,Price
BABA,Alibaba Group Holding Limited,US01609W1027,706,123.98
AAPL,Apple Inc.,US0378331005,4,172.12
TSLA,"Tesla, Inc.",US88160R1014,7664,904.55
SPCE,"Virgin Galactic Holdings, Inc.",US92766K1060,7111,8.85
AMZN,"Amazon.com, Inc.",US0231351067,388,3180.07
MSFT,Microsoft Corporation,US5949181045,5136,302.38
FB,"Meta Platforms, Inc.",US30303M1027,2661,228.07
BA,THE BOEING COMPANY,US0970231058,705,218.75
BIDU,"Baidu, Inc.",US0567521085,881,164.56
VIPS,Vipshop Holdings Limited,US92763W1036,8058,9.93
PYPL,"PayPal Holdings, Inc.",US70450Y1038,6276,119.02
FRHC,Freedom Holding Corp.,US3563901046,2995,65.85
NVDA,NVIDIA Corporation,US67066G1040,5511,258.24
T,AT&T INC.,US00206R1023,7360,24.25
INTC,Intel Corporation,US4581401001,4060,48.86
TCS,TCS Group Holding PLC,US87238U2033,7424,8.05
TAL,TAL Education Group,US8740801043,7392,3.48
GTHX,"G1 Therapeutics, Inc.",US3621LQ1099,3428,10.42
GOOGL,Alphabet Inc. Class A,US02079K3059,3358,2772.4
ATVI,"Activision Blizzard, Inc.",US00507V1098,609,81.45
DAL,"Delta Air Lines, Inc.",US2473617023,1897,43.9
V,Visa Inc.,US92826C8394,7924,225.59
XOM,Exxon Mobil Corporation,US30231G1022,8458,78.24
MU,"Micron Technology, Inc.",US5951121038,5172,91.02
PFE,Pfizer Inc.,US7170811035,5889,50.6
MOMO,Hello Group Inc.,US4234031049,5078,10.11
MRNA,"Moderna, Inc.",US60770K1079,5113,160.42
PLTR,Palantir Technologies Inc. Class A,US69608A1088,6037,13.56
AYX,"Alteryx, Inc. ClassA",US02156B1035,699,53.9
AMD,"Advanced Micro Devices, Inc.",US0079031078,354,125.77
BTI,British American Tobacco p.l.c.,US1104481072,1124,44.46
TSM,Taiwan Semiconductor Manufacturing Company Ltd.,US8740391003,7662,124.71
AAL,American Airlines Group Inc.,US02376R1023,7,18.71
COIN,"Coinbase Global, Inc. Class A",US19260Q1076,1609,204.77
NEM,Newmont Corporation,US6516391066,5297,60.53
GOOG,Alphabet Inc. Class C,US02079K1079,3325,2772.05
UAL,"United Airlines Holdings, Inc.",US9100471096,7745,49.24
WISH,ContextLogic Inc. Class A,US21077C1071,8283,2.44
KO,THE COCA-COLA COMPANY,US1912161007,4448,61.38
JD,"JD.com, Inc.",US47215P1066,4252,76.4
MA,Mastercard Incorporated class A,US57636Q1040,4792,374.39
SPR,"Spirit AeroSystems Holdings, Inc. ClassA",US8485741099,7147,50.47
VZ,Verizon Communications Inc.,US92343V1044,8206,53.04
MRK,"Merck & Co., Inc.",US58933Y1055,5117,76.56
ZM,Zoom Video Communications Inc. Class A,US98980L1017,8544,145.72
VRTX,Vertex Pharmaceuticals Incorporated,US92532F1003,8154,235.89
QCOM,QUALCOMM Incorporated,US7475251036,6260,174.07
DIS,The Walt Disney Company,US2546871060,2026,152.16
LMT,Lockheed Martin Corporation,US5398301094,4695,385.43
CLOV,"Clover Health Investments, Corp. Class A",US18914F1030,1505,2.71
VALE,Vale S.A.,US91912E1055,7937,17.85
LI,Li Auto Inc.,US50202M1027,4624,29.37
IBM,INTERNATIONAL BUSINESS MACHINES CORPORATION,US4592001014,3819,133.52
MSTR,MicroStrategy Incorporated Class A,US5949724083,5126,431.48
JNJ,Johnson & Johnson,US4781601046,4287,169.42
C,Citigroup Inc.,US1729674242,1219,67.5
JPM,JPMorgan Chase & Co.,US46625H1005,4301,155.95
VIAC,ViacomCBS Inc.,US92556H2067,8040,35.88
ABBV,AbbVie Inc.,US00287Y1091,30,142.71
BYND,"Beyond Meat, Inc.",US08862E1091,1184,61.49
MO,"Altria Group, Inc.",US02209S1033,5047,50.18
BAC,Bank of America Corporation,US0605051046,716,49.05
NFLX,"Netflix, Inc.",US64110L1061,5318,406.27
OXY,Occidental Petroleum Corporation,US6745991058,5747,40.68
ET,Energy Transfer LP,US29273V1008,2553,10.0
BMY,Bristol-Myers Squibb Company,US1101221083,1000,66.51
DISCA,"Discovery, Inc. Series A",US25470F1049,2025,30.09
CNK,"Cinemark Holdings, Inc.",US17243V1026,1581,17.17
VEON,VEON Ltd.,US91822M1062,7998,1.52
TDOC,"Teladoc Health, Inc.",US87918A1051,7456,73.41
SAVE,"Spirit Airlines, Inc.",US8485771021,6705,27.27
ESPR,"Esperion Therapeutics, Inc.",US29664W1053,2506,3.66
SQ,"Block, Inc. Class A",US8522341036,7196,108.94
EHTH,"eHealth, Inc.",US28238P1093,2331,16.41
UBER,"Uber Technologies, Inc.",US90353T1007,7738,37.75
CAT,Caterpillar Inc.,US1491231015,1243,203.07
CSCO,"Cisco Systems, Inc.",US17275R1023,1725,54.87
TWTR,"Twitter, Inc.",US90184L1026,7730,37.08
CVX,Chevron Corporation,US1667641005,1833,136.04
HOOD,"Robinhood Markets, Inc. Class A",US7707001027,3658,13.52
M,"Macy's, Inc.",US55616P1049,4788,26.59
TTE,TotalEnergies SE,US89151E1091,7692,59.04
SNAP,Snap Inc. Class A,US83304A1060,7061,40.62
CRM,"salesforce.com, inc.",US79466L3024,1703,217.67
YY,JOYY Inc.,US46591M1099,8538,50.88
FDX,FedEx Corporation,US31428X1063,2757,240.41
PINS,"Pinterest, Inc. ClassA",US72352L1061,5996,25.55
OKE,"ONEOK, Inc.",US6826801036,5604,63.02
TSN,"Tyson Foods, Inc. Class A",US9024941034,7661,97.88
AA,Alcoa Corporation,US0138721065,40,71.17
