tickers,name_company,ISIN
BABA,Alibaba Group Holding Limited,US01609W1027
AAPL,Apple Inc.,US0378331005
TSLA,"Tesla, Inc.",US88160R1014
SPCE,"Virgin Galactic Holdings, Inc.",US92766K1060
AMZN,"Amazon.com, Inc.",US0231351067
MSFT,Microsoft Corporation,US5949181045
FB,"Meta Platforms, Inc.",US30303M1027
BA,THE BOEING COMPANY,US0970231058
BIDU,"Baidu, Inc.",US0567521085
VIPS,Vipshop Holdings Limited,US92763W1036
PYPL,"PayPal Holdings, Inc.",US70450Y1038
FRHC,Freedom Holding Corp.,US3563901046
NVDA,NVIDIA Corporation,US67066G1040
T,AT&T INC.,US00206R1023
INTC,Intel Corporation,US4581401001
CCL,Carnival Corporation,PA1436583006
TCS,TCS Group Holding PLC,US87238U2033
TAL,TAL Education Group,US8740801043
GTHX,"G1 Therapeutics, Inc.",US3621LQ1099
GOOGL,Alphabet Inc. Class A,US02079K3059
ATVI,"Activision Blizzard, Inc.",US00507V1098
DAL,"Delta Air Lines, Inc.",US2473617023
V,Visa Inc.,US92826C8394
XOM,Exxon Mobil Corporation,US30231G1022
MU,"Micron Technology, Inc.",US5951121038
PFE,Pfizer Inc.,US7170811035
MOMO,Hello Group Inc.,US4234031049
MRNA,"Moderna, Inc.",US60770K1079
PLTR,Palantir Technologies Inc. Class A,US69608A1088
AYX,"Alteryx, Inc. ClassA",US02156B1035
AMD,"Advanced Micro Devices, Inc.",US0079031078
BTI,British American Tobacco p.l.c.,US1104481072
TSM,Taiwan Semiconductor Manufacturing Company Ltd.,US8740391003
AAL,American Airlines Group Inc.,US02376R1023
COIN,"Coinbase Global, Inc. Class A",US19260Q1076
NEM,Newmont Corporation,US6516391066
RIG,Transocean Ltd.,CH0048265513
VOW3@DE,VOLKSWAGEN AKTIENGESELLSCHAFT,DE0007664039
GOOG,Alphabet Inc. Class C,US02079K1079
UAL,"United Airlines Holdings, Inc.",US9100471096
WISH,ContextLogic Inc. Class A,US21077C1071
KO,THE COCA-COLA COMPANY,US1912161007
JD,"JD.com, Inc.",US47215P1066
MA,Mastercard Incorporated class A,US57636Q1040
SPR,"Spirit AeroSystems Holdings, Inc. ClassA",US8485741099
VZ,Verizon Communications Inc.,US92343V1044
MRK,"Merck & Co., Inc.",US58933Y1055
ZM,Zoom Video Communications Inc. Class A,US98980L1017
VRTX,Vertex Pharmaceuticals Incorporated,US92532F1003
QCOM,QUALCOMM Incorporated,US7475251036
DIS,The Walt Disney Company,US2546871060
LMT,Lockheed Martin Corporation,US5398301094
CLOV,"Clover Health Investments, Corp. Class A",US18914F1030
VALE,Vale S.A.,US91912E1055
LI,Li Auto Inc.,US50202M1027
IBM,INTERNATIONAL BUSINESS MACHINES CORPORATION,US4592001014
MSTR,MicroStrategy Incorporated Class A,US5949724083
OGZD@GS,"PJSC GAZPROM, ADR",US3682872078
JNJ,Johnson & Johnson,US4781601046
C,Citigroup Inc.,US1729674242
JPM,JPMorgan Chase & Co.,US46625H1005
VIAC,ViacomCBS Inc.,US92556H2067
ABBV,AbbVie Inc.,US00287Y1091
ZYNE,"Zynerba Pharmaceuticals, Inc.",US98986X1090
BYND,"Beyond Meat, Inc.",US08862E1091
MO,"Altria Group, Inc.",US02209S1033
BAC,Bank of America Corporation,US0605051046
NFLX,"Netflix, Inc.",US64110L1061
OXY,Occidental Petroleum Corporation,US6745991058
ET,Energy Transfer LP,US29273V1008
BMY,Bristol-Myers Squibb Company,US1101221083
DISCA,"Discovery, Inc. Series A",US25470F1049
CNK,"Cinemark Holdings, Inc.",US17243V1026
VEON,VEON Ltd.,US91822M1062
RDS A,Royal Dutch Shell plc,US7802592060
TDOC,"Teladoc Health, Inc.",US87918A1051
SAVE,"Spirit Airlines, Inc.",US8485771021
BAYN@DE,Bayer Aktiengesellschaft,DE000BAY0017
ESPR,"Esperion Therapeutics, Inc.",US29664W1053
SQ,"Block, Inc. Class A",US8522341036
ENDP,Endo International PLC,IE00BJ3V9050
EHTH,"eHealth, Inc.",US28238P1093
UBER,"Uber Technologies, Inc.",US90353T1007
CAT,Caterpillar Inc.,US1491231015
CSCO,"Cisco Systems, Inc.",US17275R1023
LHA@DE,Deutsche Lufthansa Aktiengesellschaft,DE0008232125
TWTR,"Twitter, Inc.",US90184L1026
CVX,Chevron Corporation,US1667641005
HOOD,"Robinhood Markets, Inc. Class A",US7707001027
RCL,Royal Caribbean Cruises Ltd.,LR0008862868
M,"Macy's, Inc.",US55616P1049
TTE,TotalEnergies SE,US89151E1091
SNAP,Snap Inc. Class A,US83304A1060
CRM,"salesforce.com, inc.",US79466L3024
YY,JOYY Inc.,US46591M1099
FDX,FedEx Corporation,US31428X1063
PINS,"Pinterest, Inc. ClassA",US72352L1061
OKE,"ONEOK, Inc.",US6826801036
TSN,"Tyson Foods, Inc. Class A",US9024941034
AA,Alcoa Corporation,US0138721065
